0,235,1696,112349
1,200,1436,95776
2,168,1208,80633
3,187,1347,89554
4,191,1376,91571
5,212,1525,101535
6,179,1296,85780
7,200,1469,95965
8,243,1769,115927
9,247,1786,117888
10,276,1995,131587
11,230,1678,110119
12,296,2144,141069
13,154,1127,74061
14,170,1238,81491
15,230,1714,109903
16,268,1973,127881
17,262,1917,125055
18,241,1788,115183
19,242,1767,115497
20,203,1470,97298
21,223,1605,106590
22,227,1633,108575
23,188,1360,89885
24,194,1397,92895
25,240,1728,114902
26,192,1382,91963
27,234,1677,111820
28,165,1184,79048
29,186,1336,89158
